Time [s]	Force [kN]	Displacement [m]
8.356180648239019265e-03	4.160856484921174499e-03	1.181181181181181206e+00
8.895403270459307371e-03	4.428175344735481821e-03	1.201201201201201219e+00
9.458203769710524580e-03	4.707030763869384481e-03	1.221221221221221231e+00
1.004505857605812215e-02	4.997639155622641410e-03	1.241241241241241244e+00
1.065643388245563622e-02	5.300210513439604712e-03	1.261261261261261257e+00
1.129278481937513734e-02	5.614947955509062838e-03	1.281281281281281270e+00
1.195455463054898894e-02	5.942047275933552697e-03	1.301301301301301283e+00
1.264217417311414710e-02	6.281696673107074226e-03	1.321321321321321296e+00
1.335606134243580261e-02	6.634076439598905056e-03	1.341341341341341309e+00
1.409662029728750259e-02	6.999358546503977284e-03	1.361361361361361322e+00
1.486424066236848376e-02	7.377706223646249457e-03	1.381381381381381335e+00
1.565929723089311970e-02	7.769273804007404208e-03	1.401401401401401348e+00
1.648214918371677593e-02	8.174206315307767576e-03	1.421421421421421361e+00
1.733313933857068972e-02	8.592639098869817721e-03	1.441441441441441373e+00
1.821259362029447465e-02	9.024697542956884241e-03	1.461461461461461386e+00
1.912082061127713672e-02	9.470496859624109864e-03	1.481481481481481399e+00
2.005811083063097425e-02	9.930141725795236379e-03	1.501501501501501412e+00
2.102473596764817612e-02	1.040372592285072027e-02	1.521521521521521425e+00
2.202094860407757468e-02	1.089133220612707557e-02	1.541541541541541438e+00
2.304698158290000715e-02	1.139303200964665586e-02	1.561561561561561451e+00
2.410304736230715200e-02	1.190888515398897708e-02	1.581581581581581464e+00
2.518933737634040243e-02	1.243893957505134984e-02	1.601601601601601477e+00
2.630602182368810271e-02	1.298323123530701825e-02	1.621621621621621712e+00
2.745324896696445249e-02	1.354178382238171996e-02	1.641641641641641725e+00
2.863114455815293780e-02	1.411460852952094343e-02	1.661661661661661737e+00
2.983981135582524508e-02	1.470170387965557060e-02	1.681681681681681750e+00
3.107932889661213158e-02	1.530305564376011930e-02	1.701701701701701763e+00
3.234975282504026772e-02	1.591863658535758175e-02	1.721721721721721776e+00
3.365111438755746115e-02	1.654840631661640832e-02	1.741741741741741789e+00
3.498342006010302790e-02	1.719231119373438449e-02	1.761761761761761802e+00
