Time[s]	Voltage[kV]	Displacement[$\mu$-m]
1.883697697197483478e+01	-5.031447135497044837e-02	-3.198646746606535474e-01
1.886842434588464101e+01	7.546921913785611946e-02	-2.629185167972583614e-01
1.889987171979445080e+01	2.011782814534607000e-01	-2.057785894621602107e-01
1.893131909370425703e+01	3.266884074528165205e-01	-1.485251223253097885e-01
1.896276646761406681e+01	4.518754857162894378e-01	-9.123654551351315090e-02
1.899421384152387304e+01	5.766157242718252807e-01	-3.398947559251988548e-02
1.902566121543367927e+01	7.007857730074621427e-01	2.314123088347563861e-02
1.905710858934348906e+01	8.242628456467645526e-01	8.008247671389666367e-02
1.908855596325329529e+01	9.469248411667074983e-01	1.367628636244665186e-01
1.912000333716310507e+01	1.068650464538081657e+00	1.931126745817583201e-01
1.915145071107291130e+01	1.189319346668680000e+00	2.490638200462682583e-01
1.918289808498272109e+01	1.308812163431085196e+00	3.045498175864053136e-01
1.921434545889252732e+01	1.427010753656919873e+00	3.595057455139271108e-01
1.924579283280233355e+01	1.543798235981302280e+00	4.138682231870536854e-01
1.927724020671214333e+01	1.659059124421623066e+00	4.675753760145144877e-01
1.930868758062194956e+01	1.772679442576494235e+00	5.205668182977588598e-01
1.934013495453175935e+01	1.884546836332068542e+00	5.727836304101172615e-01
1.937158232844156558e+01	1.994550684963957821e+00	6.241683479304924731e-01
1.940302970235137536e+01	2.102582210525281603e+00	6.746649466720503474e-01
1.943447707626118159e+01	2.208534585412274875e+00	7.242188401735236702e-01
1.946592445017098783e+01	2.312303038001472189e+00	7.727768775535903689e-01
1.949737182408079761e+01	2.413784956253700820e+00	8.202873426779431210e-01
1.952881919799060384e+01	2.512879989182560614e+00	8.666999572245774885e-01
1.956026657190041362e+01	2.609490146087161566e+00	9.119658914353453438e-01
1.959171394581021985e+01	2.703519893450709866e+00	9.560377703040284780e-01
1.962316131972002609e+01	2.794876249409459223e+00	9.988696883630314716e-01
1.965460869362983587e+01	2.883468875698335765e+00	1.040417224556324127e+00
1.968605606753964210e+01	2.969210166982428678e+00	1.080637454168771772e+00
1.971750344144945188e+01	3.052015337486106095e+00	1.119488972823817097e+00
1.974895081535925812e+01	3.131802504833845813e+00	1.156931908388538099e+00
1.978039818926906790e+01	3.208492771020173606e+00	1.192927944832022469e+00
1.981184556317887413e+01	3.282010300428344962e+00	1.227440341820060787e+00
1.984329293708868036e+01	3.352282394820897959e+00	1.260433952313979145e+00
1.987474031099849014e+01	3.419239565227700783e+00	1.291875248414259936e+00
1.990618768490829638e+01	3.482815600660503996e+00	1.321732335955772886e+00
1.993763505881810616e+01	3.542947633586115419e+00	1.349974980824002690e+00
1.996908243272791239e+01	3.599576202093268229e+00	1.376574628250547550e+00
2.000052980663772217e+01	3.652645308691932158e+00	1.401504415758076050e+00
2.003197718054752841e+01	3.702102475686708694e+00	1.424739200852579657e+00
2.006342455445733464e+01	3.747898797069747268e+00	1.446255574917047593e+00
2.009487192836714442e+01	3.789988986881716926e+00	1.466031879493182588e+00
2.012631930227695065e+01	3.828331423993079685e+00	1.484048227107490847e+00
2.015776667618676044e+01	3.862888193261417413e+00	1.500286511557745062e+00
2.018921405009656667e+01	3.893625123024008428e+00	1.514730424157486155e+00
2.022066142400637645e+01	3.920511818888706035e+00	1.527365468048862196e+00
2.025210879791618268e+01	3.943521693789581839e+00	1.538178966064308151e+00
2.028355617182598891e+01	3.962631994277725056e+00	1.547160073991548535e+00
2.031500354573579870e+01	3.977823823021109817e+00	1.554299788713092934e+00
2.034645091964560493e+01	3.989082157491329994e+00	1.559590953699937721e+00
2.037789829355541471e+01	3.996395864818725663e+00	1.563028267385849102e+00
2.040934566746522094e+01	3.999757712801174758e+00	1.564608286112183055e+00
2.044079304137502717e+01	3.999164377055704822e+00	1.564780517482579736e+00
2.047224041528483696e+01	3.994616444305826075e+00	1.565092277342100990e+00
2.050368778919464319e+01	3.986118411801347960e+00	1.565649552659249766e+00
2.053513516310445297e+01	3.973678682871243151e+00	1.566406300286581788e+00
2.056658253701425920e+01	3.957309558613975931e+00	1.567296224467134236e+00
2.059802991092406899e+01	3.937027225733475078e+00	1.568234371951016559e+00
2.062947728483387522e+01	3.912851740532835798e+00	1.569118791795376611e+00
2.066092465874368145e+01	3.884807009081508777e+00	1.569832629288516079e+00
2.069237203265349123e+01	3.852920763575652163e+00	1.570246587396760374e+00
2.072381940656329746e+01	3.817224534914999357e+00	1.570221391825880719e+00
2.075526678047310725e+01	3.777753621523316951e+00	1.569610555004099517e+00
2.078671415438291348e+01	3.734547054443388525e+00	1.568263132385343983e+00
2.081816152829272326e+01	3.687647558740901665e+00	1.566026481648904456e+00
2.084960890220252949e+01	3.637101511255557362e+00	1.562748948404787397e+00
2.088105627611233572e+01	3.582958894741028022e+00	1.558282449286013227e+00
2.091250365002214551e+01	3.525273248439231288e+00	1.552484787161981572e+00
2.094395102393195174e+01	3.464101615137761048e+00	1.545221898449320008e+00
2.097539839784176152e+01	3.399504484762748024e+00	1.536369561507715309e+00
2.100684577175156775e+01	3.331545734563099881e+00	1.525815138197289755e+00
2.103829314566137754e+01	3.260292565945050125e+00	1.513458785834533638e+00
2.106974051957118377e+01	3.185815438019721224e+00	1.499214438993510257e+00
2.110118789348099000e+01	3.108187997929162893e+00	1.483010478658673081e+00
2.113263526739079978e+01	3.027487008019971171e+00	1.464790100164963915e+00
2.116408264130060601e+01	2.943792269936421846e+00	1.444511390568875342e+00
2.119553001521041580e+01	2.857186545708086722e+00	1.422147176332382301e+00
2.122697738912022203e+01	2.767755475910192331e+00	1.397684690205684532e+00
2.125842476303003181e+01	2.675587494977359704e+00	1.371124764098347715e+00
2.128987213693983804e+01	2.580773743754779748e+00	1.342481373483386475e+00
2.132131951084964427e+01	2.483407979372985519e+00	1.311780633004433261e+00
2.135276688475945406e+01	2.383586482535595685e+00	1.279059751466108619e+00
2.138421425866926029e+01	2.281407962311615467e+00	1.244366111351452586e+00
2.141566163257907007e+01	2.176973458526319405e+00	1.207756129642921783e+00
2.144710900648887630e+01	2.070386241847522069e+00	1.169294187495122594e+00
2.147855638039868253e+01	1.961751711665695952e+00	1.129051558329836835e+00
2.151000375430849232e+01	1.851177291869202879e+00	1.087105368908459768e+00
2.154145112821829855e+01	1.738772324617594789e+00	1.043537604746295644e+00
2.157289850212810833e+01	1.624647962217894870e+00	9.984341726684131668e-01
2.160434587603791456e+01	1.508917057211090373e+00	9.518840390445328925e-01
2.163579324994772435e+01	1.391694050777138703e+00	9.039784485282192916e-01
2.166724062385753058e+01	1.273094859569243287e+00	8.548102103602520652e-01
2.169868799776733681e+01	1.153236761088902051e+00	8.044730640667300259e-01
2.173013537167714659e+01	1.032238277715407992e+00	7.530611353840096500e-01
2.176158274558695283e+01	9.102190595043425647e-01	7.006684559804640111e-01
2.179303011949676261e+01	7.872997658708267288e-01	6.473885655519016069e-01
2.182447749340656884e+01	6.636019462748645736e-01	5.933141704920243953e-01
2.185592486731637862e+01	5.392479200263399219e-01	5.385368758081736651e-01
2.188737224122618485e+01	4.143606553289662653e-01	4.831469578744538862e-01
2.191881961513599109e+01	2.890636476823630896e-01	4.272332014534445666e-01
2.195026698904580087e+01	1.634807977628532638e-01	3.708827695767550336e-01
2.198171436295560710e+01	3.773628890360000709e-02	3.141811169616849919e-01
2.201316173686541688e+01	-8.804553570490544767e-02	2.572119206579878692e-01
2.204460911077522312e+01	-2.137402959722188578e-01	2.000570552133539848e-01
